상품종류,단축코드,표준코드,한글종목명,ATM구분,행사가,월물구분코드,기초자산 단축코드,기초자산 명,시장분류코드,만기,delta,gamma,theta,vega,rho,otst,date,gamma_exposure
6,301V11397,KR4301VB3973,P 202411 397.5,2,397.5, ,2001,KOSPI200,P,202411,-0.9996,0.0001,0.0358,0.0009,-0.1414,0,20241103,0.0
6,301V11400,KR4301VB4005,P 202411 400.0,2,400.0, ,2001,KOSPI200,P,202411,-0.9998,0.0001,0.0364,0.0005,-0.1423,8,20241103,0.0008
6,301V11402,KR4301VB4021,P 202411 402.5,2,402.5, ,2001,KOSPI200,P,202411,-0.9999,0.0,0.0368,0.0003,-0.1432,0,20241103,0.0
6,301V11405,KR4301VB4054,P 202411 405.0,2,405.0, ,2001,KOSPI200,P,202411,-0.9999,0.0,0.0372,0.0002,-0.1441,12,20241103,0.0
6,301V11407,KR4301VB4070,P 202411 407.5,2,407.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0375,0.0001,-0.145,0,20241103,0.0
6,301V11410,KR4301VB4104,P 202411 410.0,2,410.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0378,0.0001,-0.1458,21,20241103,0.0
6,301V11412,KR4301VB4120,P 202411 412.5,2,412.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.038,0.0,-0.1467,0,20241103,0.0
6,301V11415,KR4301VB4153,P 202411 415.0,2,415.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0383,0.0,-0.1476,0,20241103,0.0
6,301V11417,KR4301VB4179,P 202411 417.5,2,417.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0385,0.0,-0.1485,0,20241103,0.0
6,301V11420,KR4301VB4203,P 202411 420.0,2,420.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0388,0.0,-0.1494,2,20241103,0.0
6,301V11422,KR4301VB4229,P 202411 422.5,2,422.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.039,0.0,-0.1503,6,20241103,0.0
6,301V11425,KR4301VB4252,P 202411 425.0,2,425.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0392,0.0,-0.1512,0,20241103,0.0
6,301V11427,KR4301VB4278,P 202411 427.5,2,427.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0395,0.0,-0.1521,0,20241103,0.0
6,301V11430,KR4301VB4302,P 202411 430.0,2,430.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0397,0.0,-0.153,1,20241103,0.0
6,301V11432,KR4301VB4328,P 202411 432.5,2,432.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0399,0.0,-0.1539,0,20241103,0.0
6,301V11435,KR4301VB4351,P 202411 435.0,2,435.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0401,0.0,-0.1547,0,20241103,0.0
6,301V11437,KR4301VB4377,P 202411 437.5,2,437.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0404,0.0,-0.1556,0,20241103,0.0
6,301V11440,KR4301VB4401,P 202411 440.0,2,440.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0406,0.0,-0.1565,41,20241103,0.0
6,301V11442,KR4301VB4427,P 202411 442.5,2,442.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0408,0.0,-0.1574,20,20241103,0.0
6,301V11445,KR4301VB4450,P 202411 445.0,2,445.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0411,0.0,-0.1583,20,20241103,0.0
6,301V11447,KR4301VB4476,P 202411 447.5,2,447.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0413,0.0,-0.1592,0,20241103,0.0
6,301V11450,KR4301VB4500,P 202411 450.0,2,450.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0415,0.0,-0.1601,19,20241103,0.0
6,301V11452,KR4301VB4526,P 202411 452.5,2,452.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0418,0.0,-0.161,0,20241103,0.0
6,301V11455,KR4301VB4559,P 202411 455.0,2,455.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.042,0.0,-0.1619,0,20241103,0.0
6,301V11457,KR4301VB4575,P 202411 457.5,2,457.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0422,0.0,-0.1627,0,20241103,0.0
6,301V11460,KR4301VB4609,P 202411 460.0,2,460.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0425,0.0,-0.1636,72,20241103,0.0
6,301V11462,KR4301VB4625,P 202411 462.5,2,462.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0427,0.0,-0.1645,0,20241103,0.0
6,301V11465,KR4301VB4658,P 202411 465.0,2,465.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0429,0.0,-0.1654,0,20241103,0.0
6,301V11467,KR4301VB4674,P 202411 467.5,2,467.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0431,0.0,-0.1663,0,20241103,0.0
6,301V11470,KR4301VB4708,P 202411 470.0,2,470.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0434,0.0,-0.1672,0,20241103,0.0
6,301V11472,KR4301VB4724,P 202411 472.5,2,472.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0436,0.0,-0.1681,0,20241103,0.0
6,301V11475,KR4301VB4757,P 202411 475.0,2,475.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0438,0.0,-0.169,0,20241103,0.0
6,301V11477,KR4301VB4773,P 202411 477.5,2,477.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0441,0.0,-0.1699,0,20241103,0.0
6,301V11480,KR4301VB4807,P 202411 480.0,2,480.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0443,0.0,-0.1708,0,20241103,0.0
6,301V11482,KR4301VB4823,P 202411 482.5,2,482.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0445,0.0,-0.1716,0,20241103,0.0
6,301V11485,KR4301VB4856,P 202411 485.0,2,485.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0448,0.0,-0.1725,0,20241103,0.0
6,301V11487,KR4301VB4872,P 202411 487.5,2,487.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.045,0.0,-0.1734,0,20241103,0.0
6,301V11490,KR4301VB4906,P 202411 490.0,2,490.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0452,0.0,-0.1743,0,20241103,0.0
6,301V11492,KR4301VB4922,P 202411 492.5,2,492.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0455,0.0,-0.1752,0,20241103,0.0
