date,selected_etf_count,selected_total_trading_value,kospi_trading_value,ratio
20100715,28,76337834250.0,5571613078380.0,0.013701208819797651
20100716,28,89787498830.0,6033762296424.0,0.014880847872183151
20100719,28,90068707750.0,4550743795132.0,0.019792084943641052
20100720,28,88242182670.0,4875405642490.0,0.018099454515323642
20100721,28,102304635335.0,5856047546358.0,0.01746991200551734
20100722,28,77315460075.0,7179373869814.0,0.010769109044463657
20100723,28,93649642405.0,7037710943139.0,0.013306832741730914
20100726,28,64517690485.0,5166244672409.0,0.012488314932036629
20100727,28,69997910417.0,5845756883640.0,0.011974139843703888
20100728,28,84979497710.0,5262637871293.0,0.01614770002959011
20100729,28,83296622775.0,5440526781635.0,0.015310396606478519
20100730,28,79695027430.0,5341376979600.0,0.014920315067514319
20100802,28,99604233105.0,5819379938291.0,0.01711595292990118
20100803,28,91123276645.0,5613674932817.0,0.01623237500132082
20100804,28,106931840074.0,5785527615696.0,0.01848264275567477
20100805,28,104677516075.0,6250711382940.0,0.016746496464497662
20100806,28,84083703555.0,5690650857592.0,0.01477576215079553
20100809,28,47705430245.0,4133761092298.0,0.011540442028419225
20100810,28,63750929685.0,4965797009827.0,0.012838005572688719
20100811,28,111397320045.0,5459257823915.0,0.0204052132429081
20100812,28,111059333375.0,5414133879652.0,0.020512853180892986
20100813,28,177264576120.0,4474349951250.0,0.03961795077528023
20100816,28,116918390735.0,4185652434855.0,0.02793313409431481
20100817,28,67879887525.0,4547668077913.0,0.014926306485444117
20100818,28,66751019680.0,5021971483492.0,0.01329179584141825
20100819,28,81331863215.0,5249782823853.0,0.015492424342862184
20100820,28,88234114355.0,5128306963204.0,0.017205310639181043
20100823,28,91447891670.0,5313810698046.0,0.01720947486963119
20100824,28,87132714090.0,5154349491151.0,0.016904696555712737
20100825,28,103254286215.0,4777175160756.0,0.02161408839751644
20100826,28,91169345704.0,4639292088401.0,0.01965156406770302
20100827,28,93113516642.0,4090190276488.0,0.0227650819027302
20100830,28,71310993665.0,3958869986108.0,0.0180129668100332
20100831,28,101946746410.0,5079126242121.0,0.020071709492975293
20100901,28,111996290560.0,5867851352095.0,0.01908642258294664
20100902,28,99088792172.0,5685857099576.0,0.017427239277502973
20100903,28,81575377700.0,6057612210167.0,0.01346658961811474
20100906,28,72071373620.0,5458249498199.0,0.013204118581200918
20100907,28,59259367600.0,4837177751277.0,0.012250814554903572
20100908,28,169322003985.0,5004816944965.0,0.033831807605939145
20100909,28,139422893565.0,6096389192395.0,0.022869749480384952
20100910,28,161071847080.0,5591152005289.0,0.028808346996760714
